CaseID,CompleteTimestamp,Vessel,ActivityID,lifecycle:transition,event_id
20K12001E,2020-10-14 13:00:57.000,R501,Filters,start,0
20K12001E,2020-10-14 13:16:00.000,R501,1Pass_Prewet,start,1
20K12001E,2020-10-14 13:38:51.000,R501,Filters,complete,2
20K12001E,2020-10-14 16:43:32.000,R501,1Pass_Prewet,complete,3
20K12001E,2020-10-14 17:59:29.000,R501,Circulation Prewet,start,4
20K12001E,2020-10-14 18:20:56.776,R501,Pump adjustment,complete,5
20K12001E,2020-10-14 18:31:03.746,R501,Pump stop,complete,6
20K12001E,2020-10-14 18:32:40.692,R501,Pump adjustment,complete,7
20K12001E,2020-10-14 18:32:53.109,R501,Pump start,complete,8
20K12001E,2020-10-14 18:33:24.133,R501,Pump adjustment,complete,9
20K12001E,2020-10-14 18:33:36.102,R501,Pump adjustment,complete,10
20K12001E,2020-10-14 18:33:50.228,R501,Pump adjustment,complete,11
20K12001E,2020-10-14 18:42:32.046,R501,Pump adjustment,complete,12
20K12001E,2020-10-15 06:37:11.254,R501,Pump stop,complete,13
20K12001E,2020-10-15 06:56:12.910,R501,Pump adjustment,complete,14
20K12001E,2020-10-15 07:18:15.859,R501,Pump stop,complete,15
20K12001E,2020-10-15 07:39:51.134,R501,Pump adjustment,complete,16
20K12001E,2020-10-15 07:55:09.771,R501,Pump adjustment,complete,17
20K12001E,2020-10-15 07:55:13.059,R501,Pump start,complete,18
20K12001E,2020-10-15 07:56:04.221,R501,Pump adjustment,complete,19
20K12001E,2020-10-15 07:56:42.972,R501,Pump adjustment,complete,20
20K12001E,2020-10-15 07:57:00.790,R501,Pump adjustment,complete,21
20K12001E,2020-10-15 07:57:04.865,R501,Pump adjustment,complete,22
20K12001E,2020-10-15 07:57:07.503,R501,Pump adjustment,complete,23
20K13001E,2020-10-15 09:32:54.000,R602,Filters,start,0
20K13001E,2020-10-15 10:22:04.000,R602,Filters,complete,1
20K13001E,2020-10-15 10:31:56.000,R602,1Pass_Prewet,start,2
20K12001E,2020-10-15 12:49:26.926,R501,Pump stop,complete,24
20K12001E,2020-10-15 13:03:17.692,R501,Pump adjustment,complete,25
20K12001E,2020-10-15 13:22:19.250,R501,Pump stop,complete,26
